iso_time	uptime_s	temp_c	arm_mhz	core_mhz	volts	load1	throttled_hex	throttled_flags	proc_cpu	proc_rss_kb
2026-08-16T12:43:20+02:00	3606	42.8	700	499	0.8955V	1.32	0x0	clean	24.1	322244
2026-08-16T12:44:20+02:00	3666	42.8	700	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T12:45:20+02:00	3726	42.8	700	499	0.8955V	1.46	0x0	clean	24.1	322244
2026-08-16T12:46:20+02:00	3786	43.8	700	499	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T12:47:20+02:00	3846	43.3	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T12:48:21+02:00	3906	43.8	800	499	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T12:49:21+02:00	3966	43.8	700	499	0.8955V	1.29	0x0	clean	24.1	322244
2026-08-16T12:50:21+02:00	4026	43.3	700	499	0.8955V	1.44	0x0	clean	24.1	322244
2026-08-16T12:51:21+02:00	4086	43.8	700	499	0.8955V	1.35	0x0	clean	24.1	322244
2026-08-16T12:52:21+02:00	4146	43.3	700	499	0.8955V	1.60	0x0	clean	24.1	322244
2026-08-16T12:53:21+02:00	4207	43.3	700	499	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T12:54:21+02:00	4267	43.8	700	499	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T12:55:21+02:00	4327	42.8	700	499	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T12:56:21+02:00	4387	43.3	700	267	0.8955V	1.21	0x0	clean	24.1	322244
2026-08-16T12:57:21+02:00	4447	43.3	700	499	0.8955V	1.18	0x0	clean	24.1	322244
2026-08-16T12:58:22+02:00	4507	42.8	700	267	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T12:59:22+02:00	4567	43.8	700	499	0.8955V	1.17	0x0	clean	24.1	322244
2026-08-16T13:00:22+02:00	4627	43.8	700	267	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T13:01:22+02:00	4687	42.3	700	499	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T13:02:22+02:00	4747	44.3	700	499	0.8955V	1.36	0x0	clean	24.1	322244
2026-08-16T13:03:22+02:00	4808	42.8	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T13:04:22+02:00	4868	44.3	700	499	0.8955V	1.11	0x0	clean	24.1	322244
2026-08-16T13:05:22+02:00	4928	43.3	700	499	0.8955V	1.35	0x0	clean	24.1	322244
2026-08-16T13:06:22+02:00	4988	43.3	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T13:07:23+02:00	5048	43.8	700	267	0.8955V	1.25	0x0	clean	24.1	322244
2026-08-16T13:08:23+02:00	5108	43.8	700	267	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T13:09:23+02:00	5168	42.8	700	499	0.8955V	1.38	0x0	clean	24.1	322244
2026-08-16T13:10:23+02:00	5228	42.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T13:11:23+02:00	5288	43.3	700	267	0.8955V	1.41	0x0	clean	24.1	322244
2026-08-16T13:12:23+02:00	5348	43.8	700	499	0.8955V	1.37	0x0	clean	24.1	322244
2026-08-16T13:13:23+02:00	5409	42.8	700	499	0.8955V	1.29	0x0	clean	24.1	322244
2026-08-16T13:14:23+02:00	5469	42.8	700	499	0.8955V	1.16	0x0	clean	24.1	322244
2026-08-16T13:15:23+02:00	5529	43.3	700	499	0.8955V	1.46	0x0	clean	24.1	322244
2026-08-16T13:16:23+02:00	5589	43.3	700	499	0.8955V	1.40	0x0	clean	24.1	322244
2026-08-16T13:17:23+02:00	5649	43.3	800	499	0.8955V	1.14	0x0	clean	24.1	322244
2026-08-16T13:18:24+02:00	5709	42.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T13:19:24+02:00	5769	43.3	700	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T13:20:24+02:00	5829	43.3	700	499	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T13:21:24+02:00	5889	42.8	800	499	0.8955V	1.15	0x0	clean	24.1	322244
2026-08-16T13:22:24+02:00	5949	42.8	700	499	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T13:23:24+02:00	6010	42.3	700	499	0.8955V	1.31	0x0	clean	24.1	322244
2026-08-16T13:24:24+02:00	6070	42.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T13:25:24+02:00	6130	42.8	800	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T13:26:24+02:00	6190	43.3	700	499	0.8955V	1.52	0x0	clean	24.1	322244
2026-08-16T13:27:24+02:00	6250	42.8	700	499	0.8955V	1.40	0x0	clean	24.1	322244
2026-08-16T13:28:25+02:00	6310	43.8	700	499	0.8955V	1.37	0x0	clean	24.1	322244
2026-08-16T13:29:25+02:00	6370	42.8	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T13:30:25+02:00	6430	42.8	700	499	0.8955V	1.51	0x0	clean	24.1	322244
2026-08-16T13:31:25+02:00	6490	42.8	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T13:32:25+02:00	6550	43.3	700	499	0.8955V	1.14	0x0	clean	24.1	322244
2026-08-16T13:33:25+02:00	6611	42.8	700	499	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T13:34:25+02:00	6671	42.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T13:35:25+02:00	6731	42.8	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T13:36:25+02:00	6791	42.8	700	499	0.8955V	1.23	0x0	clean	24.1	322244
2026-08-16T13:37:25+02:00	6851	42.8	800	499	0.8955V	1.42	0x0	clean	24.1	322244
2026-08-16T13:38:26+02:00	6911	42.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T13:39:26+02:00	6971	43.3	700	499	0.8955V	1.44	0x0	clean	24.1	322244
2026-08-16T13:40:26+02:00	7031	42.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T13:41:26+02:00	7091	43.8	700	499	0.8955V	1.60	0x0	clean	24.1	322244
2026-08-16T13:42:26+02:00	7151	42.8	700	499	0.8955V	1.47	0x0	clean	24.1	322244
2026-08-16T13:43:26+02:00	7211	43.3	700	499	0.8955V	1.37	0x0	clean	24.1	322244
2026-08-16T13:44:26+02:00	7272	42.8	700	499	0.8955V	1.45	0x0	clean	24.1	322244
2026-08-16T13:45:26+02:00	7332	43.3	700	499	0.8955V	1.46	0x0	clean	24.1	322244
2026-08-16T13:46:26+02:00	7392	43.3	700	499	0.8955V	1.23	0x0	clean	24.1	322244
2026-08-16T13:47:26+02:00	7452	43.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T13:48:27+02:00	7512	41.8	700	499	0.8955V	1.44	0x0	clean	24.1	322244
2026-08-16T13:49:27+02:00	7572	43.3	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T13:50:27+02:00	7632	43.3	700	499	0.8955V	1.39	0x0	clean	24.1	322244
2026-08-16T13:51:27+02:00	7692	42.8	700	499	0.8955V	1.24	0x0	clean	24.1	322244
2026-08-16T13:52:27+02:00	7752	43.3	700	499	0.8955V	1.50	0x0	clean	24.1	322244
2026-08-16T13:53:27+02:00	7812	43.8	700	499	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T13:54:27+02:00	7873	43.3	700	499	0.8955V	1.21	0x0	clean	24.1	322244
2026-08-16T13:55:27+02:00	7933	43.3	700	499	0.8955V	1.13	0x0	clean	24.1	322244
2026-08-16T13:56:27+02:00	7993	43.8	700	499	0.8955V	1.38	0x0	clean	24.1	322244
2026-08-16T13:57:27+02:00	8053	42.8	700	499	0.8955V	1.42	0x0	clean	24.1	322244
2026-08-16T13:58:28+02:00	8113	41.8	700	499	0.8955V	1.35	0x0	clean	24.1	322244
2026-08-16T13:59:28+02:00	8173	43.3	700	499	0.8955V	1.32	0x0	clean	24.1	322244
2026-08-16T14:00:28+02:00	8233	42.8	700	499	0.8955V	1.60	0x0	clean	24.1	322244
2026-08-16T14:01:28+02:00	8293	43.3	700	499	0.8955V	1.52	0x0	clean	24.1	322244
2026-08-16T14:02:28+02:00	8353	42.3	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T14:03:28+02:00	8413	43.3	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T14:04:28+02:00	8474	42.3	700	499	0.8955V	1.17	0x0	clean	24.1	322244
2026-08-16T14:05:28+02:00	8534	43.3	700	267	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T14:06:28+02:00	8594	43.3	700	499	0.8955V	1.15	0x0	clean	24.1	322244
2026-08-16T14:07:28+02:00	8654	43.3	700	499	0.8955V	1.32	0x0	clean	24.1	322244
2026-08-16T14:08:29+02:00	8714	42.3	700	267	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T14:09:29+02:00	8774	42.3	700	267	0.8955V	1.36	0x0	clean	24.1	322244
2026-08-16T14:10:29+02:00	8834	42.8	800	293	0.8955V	1.18	0x0	clean	24.1	322244
2026-08-16T14:11:29+02:00	8894	43.3	700	499	0.8955V	1.31	0x0	clean	24.1	322244
2026-08-16T14:12:29+02:00	8954	42.3	700	267	0.8955V	1.36	0x0	clean	24.1	322244
2026-08-16T14:13:29+02:00	9014	43.3	700	499	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T14:14:29+02:00	9075	43.3	700	499	0.8955V	1.20	0x0	clean	24.1	322244
2026-08-16T14:15:29+02:00	9135	42.8	700	499	0.8955V	1.41	0x0	clean	24.1	322244
2026-08-16T14:16:29+02:00	9195	43.3	700	499	0.8955V	1.36	0x0	clean	24.1	322244
2026-08-16T14:17:29+02:00	9255	43.3	700	499	0.8955V	1.25	0x0	clean	24.1	322244
2026-08-16T14:18:30+02:00	9315	42.8	700	499	0.8955V	1.15	0x0	clean	24.1	322244
2026-08-16T14:19:30+02:00	9375	43.3	700	499	0.8955V	1.42	0x0	clean	24.1	322244
2026-08-16T14:20:30+02:00	9435	42.3	800	499	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T14:21:30+02:00	9495	43.8	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T14:22:30+02:00	9555	42.8	700	499	0.8955V	1.28	0x0	clean	24.1	322244
2026-08-16T14:23:30+02:00	9615	42.3	700	499	0.8955V	1.31	0x0	clean	24.1	322244
2026-08-16T14:24:30+02:00	9676	42.8	700	499	0.8955V	1.48	0x0	clean	24.1	322244
2026-08-16T14:25:30+02:00	9736	43.8	700	499	0.8955V	1.22	0x0	clean	24.1	322244
2026-08-16T14:26:30+02:00	9796	44.3	700	499	0.8955V	1.42	0x0	clean	24.1	322244
2026-08-16T14:27:30+02:00	9856	42.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T14:28:31+02:00	9916	42.8	700	499	0.8955V	1.30	0x0	clean	24.1	322244
2026-08-16T14:29:31+02:00	9976	43.3	700	499	0.8955V	1.27	0x0	clean	24.1	322244
2026-08-16T14:30:31+02:00	10036	42.8	700	499	0.8955V	1.33	0x0	clean	24.1	322244
2026-08-16T14:31:31+02:00	10096	42.8	700	499	0.8955V	1.43	0x0	clean	24.1	322244
2026-08-16T14:32:31+02:00	10156	43.3	700	499	0.8955V	1.60	0x0	clean	24.1	322244
2026-08-16T14:33:31+02:00	10216	43.3	700	499	0.8955V	1.34	0x0	clean	24.1	322244
2026-08-16T14:34:31+02:00	10277	43.3	700	499	0.8955V	1.23	0x0	clean	24.1	322244
2026-08-16T14:35:31+02:00	10337	43.8	700	499	0.8955V	1.47	0x0	clean	24.1	322244
2026-08-16T14:36:31+02:00	10397	42.8	700	499	0.8955V	1.35	0x0	clean	24.1	322244
2026-08-16T14:37:31+02:00	10457	42.3	700	499	0.8955V	1.19	0x0	clean	24.1	322244
2026-08-16T14:38:32+02:00	10517	42.3	700	499	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T14:39:32+02:00	10577	41.8	700	499	0.8955V	1.58	0x0	clean	24.1	322244
2026-08-16T14:40:32+02:00	10637	43.3	700	267	0.8955V	1.26	0x0	clean	24.1	322244
2026-08-16T14:41:32+02:00	10697	43.3	700	499	0.8955V	1.35	0x0	clean	24.1	322244
2026-08-16T14:42:32+02:00	10757	41.8	700	499	0.8955V	1.40	0x0	clean	24.1	322244
2026-08-16T14:43:32+02:00	10818	44.3	700	499	0.8955V	1.53	0x0	clean	24.1	322244
